tensor([[2.1262]], device='cuda:0'),tensor(0.6593, device='cuda:0')
tensor([[0.9129]], device='cuda:0'),tensor(0.1590, device='cuda:0')
tensor([[1.7328]], device='cuda:0'),tensor(0.6785, device='cuda:0')
tensor([[2.0411]], device='cuda:0'),tensor(0.6531, device='cuda:0')
tensor([[1.4571]], device='cuda:0'),tensor(0.8421, device='cuda:0')
tensor([[1.9454]], device='cuda:0'),tensor(0.5607, device='cuda:0')
tensor([[0.6002]], device='cuda:0'),tensor(0.5450, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[0.9720]], device='cuda:0'),tensor(0.4957, device='cuda:0')
tensor([[1.6402]], device='cuda:0'),tensor(0.5918, device='cuda:0')
tensor([[1.0809]], device='cuda:0'),tensor(0.5310, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[0.9588]], device='cuda:0'),tensor(0.4620, device='cuda:0')
tensor([[0.2813]], device='cuda:0'),tensor(0.3939, device='cuda:0')
tensor([[1.2856]], device='cuda:0'),tensor(0.5319, device='cuda:0')
tensor([[0.7280]], device='cuda:0'),tensor(0.3585, device='cuda:0')
tensor([[2.2146]], device='cuda:0'),tensor(0.7680, device='cuda:0')
tensor([[0.5818]], device='cuda:0'),tensor(0.6866, device='cuda:0')
tensor([[1.0277]], device='cuda:0'),tensor(0.5114, device='cuda:0')
tensor([[0.4866]], device='cuda:0'),tensor(0.2399, device='cuda:0')
tensor([[0.9144]], device='cuda:0'),tensor(0.3226, device='cuda:0')
tensor([[1.5267]], device='cuda:0'),tensor(0.6467, device='cuda:0')
tensor([[0.9944]], device='cuda:0'),tensor(0.3671, device='cuda:0')
tensor([[1.9221]], device='cuda:0'),tensor(0.6481, device='cuda:0')
tensor([[2.1314]], device='cuda:0'),tensor(0.7482, device='cuda:0')
tensor([[0.8945]], device='cuda:0'),tensor(0.3060, device='cuda:0')
tensor([[1.8654]], device='cuda:0'),tensor(0.4913, device='cuda:0')
tensor([[0.9568]], device='cuda:0'),tensor(0.3151, device='cuda:0')
tensor([[1.9445]], device='cuda:0'),tensor(0.6369, device='cuda:0')
tensor([[1.5562]], device='cuda:0'),tensor(0.8290, device='cuda:0')
tensor([[1.8236]], device='cuda:0'),tensor(0.5435, device='cuda:0')
tensor([[1.7595]], device='cuda:0'),tensor(0.6539, device='cuda:0')
tensor([[2.3930]], device='cuda:0'),tensor(0.4824, device='cuda:0')
tensor([[2.1505]], device='cuda:0'),tensor(0.6695, device='cuda:0')
tensor([[2.1594]], device='cuda:0'),tensor(0.6542, device='cuda:0')
tensor([[0.8896]], device='cuda:0'),tensor(0.3769, device='cuda:0')
tensor([[1.9768]], device='cuda:0'),tensor(0.7449, device='cuda:0')
tensor([[2.4150]], device='cuda:0'),tensor(0.8647, device='cuda:0')
tensor([[0.6317]], device='cuda:0'),tensor(0.2007, device='cuda:0')
tensor([[0.6317]], device='cuda:0'),tensor(0.2007, device='cuda:0')
tensor([[2.2646]], device='cuda:0'),tensor(0.7173, device='cuda:0')
tensor([[1.9963]], device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor([[0.1352]], device='cuda:0'),tensor(0.2047, device='cuda:0')
tensor([[0.7187]], device='cuda:0'),tensor(0.1750, device='cuda:0')
