tensor([[1.7956]], device='cuda:0'),tensor(0.4248, device='cuda:0'),tensor(0.4518, device='cuda:0')
tensor([[0.5118]], device='cuda:0'),tensor(0.9442, device='cuda:0'),tensor(0.2108, device='cuda:0')
tensor([[1.5920]], device='cuda:0'),tensor(0.4360, device='cuda:0'),tensor(0.4830, device='cuda:0')
tensor([[1.0816]], device='cuda:0'),tensor(0.1103, device='cuda:0'),tensor(0.3999, device='cuda:0')
tensor([[0.4866]], device='cuda:0'),tensor(0.9718, device='cuda:0'),tensor(0.2399, device='cuda:0')
tensor([[1.1524]], device='cuda:0'),tensor(0.8376, device='cuda:0'),tensor(0.4124, device='cuda:0')
tensor([[1.5967]], device='cuda:0'),tensor(0.0844, device='cuda:0'),tensor(0.7847, device='cuda:0')
tensor([[-0.0774]], device='cuda:0'),tensor(0.9693, device='cuda:0'),tensor(0.1232, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.1513, device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[2.0326]], device='cuda:0'),tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor([[2.2646]], device='cuda:0'),tensor(0.1539, device='cuda:0'),tensor(0.7173, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[1.3370]], device='cuda:0'),tensor(0.1275, device='cuda:0'),tensor(0.5550, device='cuda:0')
tensor([[0.5315]], device='cuda:0'),tensor(0.7206, device='cuda:0'),tensor(0.5995, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[1.7069]], device='cuda:0'),tensor(0.4950, device='cuda:0'),tensor(0.5893, device='cuda:0')
tensor([[1.0055]], device='cuda:0'),tensor(0.9543, device='cuda:0'),tensor(0.3750, device='cuda:0')
tensor([[2.2146]], device='cuda:0'),tensor(0.1654, device='cuda:0'),tensor(0.7680, device='cuda:0')
tensor([[1.9983]], device='cuda:0'),tensor(0.1029, device='cuda:0'),tensor(0.7350, device='cuda:0')
tensor([[0.9358]], device='cuda:0'),tensor(0.8968, device='cuda:0'),tensor(0.3244, device='cuda:0')
tensor([[1.2576]], device='cuda:0'),tensor(0.2609, device='cuda:0'),tensor(0.4608, device='cuda:0')
tensor([[2.1754]], device='cuda:0'),tensor(0.1061, device='cuda:0'),tensor(0.7137, device='cuda:0')
tensor([[0.1435]], device='cuda:0'),tensor(0.8583, device='cuda:0'),tensor(0.3323, device='cuda:0')
tensor([[2.2807]], device='cuda:0'),tensor(0.4252, device='cuda:0'),tensor(0.6202, device='cuda:0')
tensor([[2.1537]], device='cuda:0'),tensor(0.3280, device='cuda:0'),tensor(0.5074, device='cuda:0')
tensor([[-0.2158]], device='cuda:0'),tensor(0.9509, device='cuda:0'),tensor(0.3740, device='cuda:0')
tensor([[2.1381]], device='cuda:0'),tensor(0.2056, device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[2.2364]], device='cuda:0'),tensor(0.2214, device='cuda:0'),tensor(0.5784, device='cuda:0')
tensor([[0.8741]], device='cuda:0'),tensor(0.6968, device='cuda:0'),tensor(0.5911, device='cuda:0')
tensor([[1.5267]], device='cuda:0'),tensor(0.3261, device='cuda:0'),tensor(0.6467, device='cuda:0')
tensor([[0.5476]], device='cuda:0'),tensor(0.7488, device='cuda:0'),tensor(0.5747, device='cuda:0')
tensor([[2.0720]], device='cuda:0'),tensor(0.0940, device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor([[2.0029]], device='cuda:0'),tensor(0.1598, device='cuda:0'),tensor(0.6227, device='cuda:0')
tensor([[1.7479]], device='cuda:0'),tensor(0.1700, device='cuda:0'),tensor(0.5750, device='cuda:0')
tensor([[0.8052]], device='cuda:0'),tensor(0.2117, device='cuda:0'),tensor(0.2485, device='cuda:0')
tensor([[0.6996]], device='cuda:0'),tensor(0.9336, device='cuda:0'),tensor(0.1902, device='cuda:0')
tensor([[1.4231]], device='cuda:0'),tensor(0.4193, device='cuda:0'),tensor(0.4845, device='cuda:0')
tensor([[0.0251]], device='cuda:0'),tensor(0.9178, device='cuda:0'),tensor(0.3464, device='cuda:0')
tensor([[1.6846]], device='cuda:0'),tensor(0.7805, device='cuda:0'),tensor(0.3239, device='cuda:0')
tensor([[2.1951]], device='cuda:0'),tensor(0.1590, device='cuda:0'),tensor(0.6797, device='cuda:0')
tensor([[0.4084]], device='cuda:0'),tensor(0.9313, device='cuda:0'),tensor(0.1665, device='cuda:0')
tensor([[0.4519]], device='cuda:0'),tensor(0.8367, device='cuda:0'),tensor(0.3597, device='cuda:0')
tensor([[1.3155]], device='cuda:0'),tensor(0.1275, device='cuda:0'),tensor(0.6275, device='cuda:0')
tensor([[2.0470]], device='cuda:0'),tensor(0.1597, device='cuda:0'),tensor(0.5639, device='cuda:0')
tensor([[0.5071]], device='cuda:0'),tensor(0.9153, device='cuda:0'),tensor(0.2393, device='cuda:0')
tensor([[2.0720]], device='cuda:0'),tensor(0.0940, device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.1075, device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[1.6704]], device='cuda:0'),tensor(0.1116, device='cuda:0'),tensor(0.8110, device='cuda:0')
tensor([[2.0095]], device='cuda:0'),tensor(0.2670, device='cuda:0'),tensor(0.7388, device='cuda:0')
tensor([[1.1794]], device='cuda:0'),tensor(0.8292, device='cuda:0'),tensor(0.4724, device='cuda:0')
tensor([[0.4981]], device='cuda:0'),tensor(0.2507, device='cuda:0'),tensor(0.2604, device='cuda:0')
tensor([[2.1782]], device='cuda:0'),tensor(0.1032, device='cuda:0'),tensor(0.8327, device='cuda:0')
