tensor([[0.2220]], device='cuda:0'),tensor(0.9720, device='cuda:0')
tensor([[1.6503]], device='cuda:0'),tensor(0.8466, device='cuda:0')
tensor([[1.0558]], device='cuda:0'),tensor(0.7237, device='cuda:0')
tensor([[0.8994]], device='cuda:0'),tensor(0.2507, device='cuda:0')
tensor([[2.0558]], device='cuda:0'),tensor(0.7727, device='cuda:0')
tensor([[2.0687]], device='cuda:0'),tensor(0.5148, device='cuda:0')
tensor([[1.0301]], device='cuda:0'),tensor(0.8803, device='cuda:0')
tensor([[0.3713]], device='cuda:0'),tensor(0.9680, device='cuda:0')
tensor([[1.3881]], device='cuda:0'),tensor(0.3848, device='cuda:0')
tensor([[2.2646]], device='cuda:0'),tensor(0.6170, device='cuda:0')
tensor([[1.8447]], device='cuda:0'),tensor(0.6101, device='cuda:0')
tensor([[0.2106]], device='cuda:0'),tensor(0.7278, device='cuda:0')
tensor([[0.4829]], device='cuda:0'),tensor(0.4771, device='cuda:0')
tensor([[1.4692]], device='cuda:0'),tensor(0.1407, device='cuda:0')
tensor([[2.4792]], device='cuda:0'),tensor(0.1132, device='cuda:0')
tensor([[0.7064]], device='cuda:0'),tensor(0.9245, device='cuda:0')
tensor([[0.4544]], device='cuda:0'),tensor(0.3867, device='cuda:0')
tensor([[0.9763]], device='cuda:0'),tensor(0.7301, device='cuda:0')
tensor([[1.0715]], device='cuda:0'),tensor(0.2992, device='cuda:0')
